timestamps,TransCurrentGear,TransSelectedGear,WheelBasedVehicleSpeed,EngSpeed,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:20:01.243372744-03:00,5.0,6.0,15.309980799157463,1215.7894357113523,321.15381943631024,1259.8442925169286,b'Shift in process',0,0.000616494,16.000022514964993,-0.00343036263859986,-5.564308231061227,958.6160978375855,4.078653506841141,-0.0015681657776438485,-2.543683762767924,41.86513258648583
2024-08-05 10:20:01.245119631-03:00,5.0,6.0,15.301253491259372,1214.6729961212511,320.8039353341479,1259.0789210434486,b'Shift in process',0,0.001746887,15.9903022972518,-0.00972021771319298,-5.564308231266808,958.6160979792552,4.074209978743679,-0.004443528097461957,-2.5436837628661486,41.86513259295233
2024-08-05 10:20:01.247737359-03:00,5.0,6.0,15.288175531294561,1213.0,320.27963043579507,1257.9320040783016,b'Shift in process',0,0.002617728,15.97573645179443,-0.014565845457369164,-5.564308231171903,958.6160979138548,4.067551306534598,-0.006658672209081118,-2.5436837628207045,41.86513258996057
2024-08-05 10:20:01.250405808-03:00,5.0,6.0,15.274844168269805,1211.5454360834335,319.74516642501607,1256.7628640547225,b'Shift in process',0,0.002668449,15.960888373494976,-0.01484807829945467,-5.564310316387786,958.6175348742483,4.060763613597704,-0.006787692936893741,-2.5436847160630545,41.865195345622865
2024-08-05 10:20:01.251005771-03:00,5.0,6.0,15.271846806047153,1211.2183986360358,319.625,1256.5,b'Shift in process',0,0.000599963,15.95755,-0.0033383734949765653,-5.564298956729941,958.609706745884,4.0592375,-0.0015261135977038265,-2.543679523076967,41.8648534719467
2024-08-05 10:20:01.251577983-03:00,5.0,6.0,15.268988080607564,1210.9064876285809,319.51611248910734,1256.2314108064647,b'Shift in process',0,0.000572212,15.954138917242101,-0.003411082757898143,-5.961221990972128,1262.8192095182735,4.057854628611663,-0.001382871388337037,-2.4167116179615893,34.111382363550256
2024-08-05 10:20:01.255013146-03:00,5.0,6.0,15.251826280685322,1209.0339908055723,318.86242758110893,1254.618988033402,b'Shift in process',0,0.003435163,15.933661148024207,-0.020477769217894348,-5.961221990890781,1262.8192094493443,4.049552830280083,-0.008301798331579846,-2.4167116179290025,34.111382361710426
2024-08-05 10:20:01.255126211-03:00,5.0,6.0,15.251261416977808,1208.9723594206043,318.84091218748176,1254.5659167291217,b'Shift in process',0,0.000113065,15.932987142459847,-0.0006740055643597032,-5.961221990533792,1262.8192091468472,4.049279584781019,-0.0002732454990646005,-2.4167116177826955,34.11138235345006
2024-08-05 10:20:01.258134617-03:00,5.0,6.0,15.236231655939175,1207.3324859852462,318.26843564036596,1253.1538079129027,b'Shift in process',0,0.003008406,15.915053360493866,-0.017933781965981055,-5.961223972422956,1262.8208885132315,4.042009132632647,-0.007270452148371298,-2.416712421252749,34.111427716724144
2024-08-05 10:20:01.259622844-03:00,5.0,6.0,15.228796597733524,1206.5212585538552,317.98523776128894,1252.4552531445127,b'Shift in process',0,0.001488227,15.906181714935311,-0.00887164555855513,-5.961217985263761,1262.8158152609335,4.03841251956837,-0.0035966130642774985,-2.4167099940247683,34.111290677519385
